Sample ID,Daphnia Sp.,Lake,Year,Date,Avg. Count,Spores,DNA Ext Date,MICGEN PCR,BERW PCR,MIC1 PCR,MIC2 PCR,MIC3 PCR,MICGEN SEQ (ident %),BERW SEQ,MIC1 SEQ,MIC2 SEQ,MIC3 SEQ,
98,Dia,Dean,2021,7/13/2021,76.7,191667,DONE,BAND,,,,,No match >94.92%,,,,,
99,Dia,Dean,2021,7/13/2021,102.3,255833,8/10/2021,BAND,no band,faint band,no band,no band,No match >95.54% (F only),not submitted,MIC1 (100%),not submitted,not submitted,
100,Dia,Dean,2021,7/13/2021,77.2,192917,DONE,BAND,,,,,No match >94.92%,,,,,
101,Dia,Dean,2021,7/13/2021,75.3,188333,8/10/2021,BAND,no band,band,no band,no band,No match >95.34%,not submitted,not submitted,not submitted,not submitted,
102,Pa,Dean,2021,7/13/2021,53.8,134583,DONE,BAND,,,,,Conglomerata or Berwaldia (99.46%),,,,,
103,Am,Dean,2021,7/13/2021,12.5,31250,8/5/2021,BAND,,,,,MIC1 (98.59%),,,,,
104,Am,Dean,2021,7/13/2021,6.2,15417,8/5/2021,BAND,,,,,MIC1 (98.58%),,,,,
105,Simo,NN3,2021,7/13/2021,4.2,10417,DONE,weird band,,,,,,,,,,
106,Simo,NN3,2021,7/13/2021,5.8,14583,8/10/2021,BAND,no band,faint band,no band,no band,MIC3 (96.93%),not submitted,MIC1 (100%),not submitted,not submitted,*can try troubleshooting MIC3 primer set with this sample if worth it in future
107,Simo,NN3,2021,7/13/2021,6.8,17083,DONE,BAND,,,,,MIC3 (96.43%),,,,,
108,Simo,NN3,2021,7/13/2021,4.8,12083,DONE,weird band,,,,,,,,,,
109,Simo,NN3,2021,7/13/2021,17,42500,8/10/2021,BAND,no band,faint band,no band,no band,MIC3 (96.93%),not submitted,junk seq,not submitted,not submitted,
110,La,Sis1,2021,7/13/2021,31.5,78750,8/5/2021,BAND,no band,faint band,no band,no band,Conglomerata obtusa (99.44%),junk seq,junk seq,not submitted,not submitted,
111,La,Sis1,2021,7/13/2021,112.2,280417,DONE,BAND,,,,,Conglomerata or Berwaldia (99.46%),,,,,
112,Am,BS,2021,14-Sep,61.63,154062.5,,,,,,,,,,,,
113,La,Cat,2021,4-Aug,59.13,147812.5,,,,,,,,,,,,
114,La,NN1,2021,4-Aug,57.13,142812.5,,,,,,,,,,,,
115,Am,BS,2021,4-Aug,92.38,230937.5,,,,,,,,,,,,
116,Am,BS,2021,8/4/21,65,162500,DONE,BAND,,,,,,,,,,
117,La,Sis1,2021,4-Aug,21.13,52812.5,,,,,,,,,,,,
118,La,Sis1,2021,4-Aug,69.5,173750,,,,,,,,,,,,
119,La,Sis1,2021,4-Aug,58.5,146250,,,,,,,,,,,,
120,La,Sis1,2021,26-Aug,49.63,124062.5,,,,,,,,,,,,
